gbifID,type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder,Image #
5187133853,StillImage,image/jpeg,https://observation.org/photos/121511560.jpg,,,,,,,Simone Versmissen,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Simone Versmissen,409
5187059446,StillImage,image/jpeg,https://observation.org/photos/121157745.jpg,,,,,,,Robert Top,,,http://creativecommons.org/licenses/by-sa/4.0/,Robert Top,410
5187059446,StillImage,image/jpeg,https://observation.org/photos/121157746.jpg,,,,,,,Robert Top,,,http://creativecommons.org/licenses/by-sa/4.0/,Robert Top,411
5187052648,StillImage,image/jpeg,https://observation.org/photos/122364550.jpg,,,,,,,T. van Gaal,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,T. van Gaal,412
5187052648,StillImage,image/jpeg,https://observation.org/photos/122364548.jpg,,,,,,,T. van Gaal,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,T. van Gaal,413
5187015859,StillImage,image/jpeg,https://observation.org/photos/121554223.jpg,,,,,,,maritvanderster,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,maritvanderster,414
5187000822,StillImage,image/jpeg,https://observation.org/photos/121787767.jpg,,,,,,,Job van Dieten,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Job van Dieten,415
5187000822,StillImage,image/jpeg,https://observation.org/photos/121787768.jpg,,,,,,,Job van Dieten,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Job van Dieten,416
5187000822,StillImage,image/jpeg,https://observation.org/photos/121787766.jpg,,,,,,,Job van Dieten,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Job van Dieten,417
5186845316,StillImage,image/jpeg,https://observation.org/photos/121841840.jpg,,,,,,,Eliene,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Eliene,418
5186749407,StillImage,image/jpeg,https://observation.org/photos/121452253.jpg,,,,,,,Dave jupp,,,http://creativecommons.org/licenses/by-nc/4.0/,Dave jupp,419
5186749407,StillImage,image/jpeg,https://observation.org/photos/121452252.jpg,,,,,,,Dave jupp,,,http://creativecommons.org/licenses/by-nc/4.0/,Dave jupp,420
5186726937,StillImage,image/jpeg,https://observation.org/photos/121971202.jpg,,,,,,,Erik-Jan Beenackers,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Erik-Jan Beenackers,421
5186724469,StillImage,image/jpeg,https://observation.org/photos/121565794.jpg,,,,,,,Dieke,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Dieke,422
5186715135,StillImage,image/jpeg,https://observation.org/photos/122360659.jpg,,,,,,,Cor Kuijstermans,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Cor Kuijstermans,423
5186715135,StillImage,image/jpeg,https://observation.org/photos/122360660.jpg,,,,,,,Cor Kuijstermans,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Cor Kuijstermans,424
5186673963,StillImage,image/jpeg,https://observation.org/photos/121530197.jpg,,,,,,,gekke henkie,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,gekke henkie,425
5186448542,StillImage,image/jpeg,https://www.artsobservasjoner.no/MediaLibrary/2025/6/12762795-f56e-4e50-80ea-99a53e703a9a_image.jpg,,,,,,,,,,http://creativecommons.org/licenses/by/4.0/,Øystein Røsok,426
5180906109,StillImage,image/jpeg,https://observation.org/photos/120890100.jpg,,,,,,,Ans Gorter,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Ans Gorter,427
5180906109,StillImage,image/jpeg,https://observation.org/photos/120890099.jpg,,,,,,,Ans Gorter,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Ans Gorter,428
5180767346,StillImage,image/jpeg,https://observation.org/photos/114101938.jpg,,,,,,,Amalia Artemis,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Amalia Artemis,429
5180722534,StillImage,image/jpeg,https://observation.org/photos/120632735.jpg,,,,,,,Erik Komen,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Erik Komen,430
5180685356,StillImage,image/jpeg,https://observation.org/photos/120676048.jpg,,,,,,,jaspervd,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,jaspervd,431
5180668665,StillImage,image/jpeg,https://observation.org/photos/120885050.jpg,,,,,,,Roel van Bezouw,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Roel van Bezouw,432
5180589604,StillImage,image/jpeg,https://observation.org/photos/120663998.jpg,,,,,,,J. Kastelijn,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,J. Kastelijn,433
5180589604,StillImage,image/jpeg,https://observation.org/photos/120663997.jpg,,,,,,,J. Kastelijn,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,J. Kastelijn,434
5180535972,StillImage,image/jpeg,https://observation.org/photos/120354721.jpg,,,,,,,Tim Duchatteau,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Tim Duchatteau,435
5180535972,StillImage,image/jpeg,https://observation.org/photos/120354720.jpg,,,,,,,Tim Duchatteau,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Tim Duchatteau,436
5180535972,StillImage,image/jpeg,https://observation.org/photos/120354719.jpg,,,,,,,Tim Duchatteau,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Tim Duchatteau,437
5180522736,StillImage,image/jpeg,https://observation.org/photos/120489702.jpg,,,,,,,Stephen Picken,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Stephen Picken,438
5180471294,StillImage,image/jpeg,https://observation.org/photos/121059696.jpg,,,,,,,J van Laarhoven,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,J van Laarhoven,439
5180412768,StillImage,image/jpeg,https://observation.org/photos/121030025.jpg,,,,,,,Aart Teeven,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Aart Teeven,440
5177301006,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/513341522/original.jpg,https://www.inaturalist.org/photos/513341522,,,,,2025-05-23T21:05:08Z,Alexey V. Ivanov,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexey V. Ivanov,441
5177301006,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/513341519/original.jpg,https://www.inaturalist.org/photos/513341519,,,,,2025-05-23T21:05:01Z,Alexey V. Ivanov,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexey V. Ivanov,442
5177301006,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/513341501/original.jpg,https://www.inaturalist.org/photos/513341501,,,,,2025-05-23T21:04:55Z,Alexey V. Ivanov,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexey V. Ivanov,443
5177301006,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/513341502/original.jpg,https://www.inaturalist.org/photos/513341502,,,,,2025-05-23T21:04:59Z,Alexey V. Ivanov,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexey V. Ivanov,444
5177294582,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/512744278/original.jpg,https://www.inaturalist.org/photos/512744278,,,,,2025-05-29T21:51:16Z,Svetlana Nesterova,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Svetlana Nesterova,445
5177294582,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/512744172/original.jpg,https://www.inaturalist.org/photos/512744172,,,,,2025-05-29T21:51:12Z,Svetlana Nesterova,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Svetlana Nesterova,446
5177294582,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/512744272/original.jpg,https://www.inaturalist.org/photos/512744272,,,,,2025-05-29T21:51:02Z,Svetlana Nesterova,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Svetlana Nesterova,447
5177097709,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/509751936/original.jpg,https://www.inaturalist.org/photos/509751936,,,,,2025-05-24T21:08:36Z,Иван Матершев,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Матершев,448
5177097709,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/509751872/original.jpg,https://www.inaturalist.org/photos/509751872,,,,,2025-05-24T21:07:23Z,Иван Матершев,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Матершев,449
5177097709,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/509751897/original.jpg,https://www.inaturalist.org/photos/509751897,,,,,2025-05-24T21:07:36Z,Иван Матершев,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Матершев,450
5177082342,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/281575985/original.jpeg,https://www.inaturalist.org/photos/281575985,,,,,2023-05-21T16:44:42Z,Raija Paltta Os Laiho,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Raija Paltta Os Laiho,451
5177082342,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/281576001/original.jpeg,https://www.inaturalist.org/photos/281576001,,,,,2023-05-21T16:45:17Z,Raija Paltta Os Laiho,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Raija Paltta Os Laiho,452
5177020005,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/512010776/original.jpg,https://www.inaturalist.org/photos/512010776,,,,,2025-05-26T19:11:38Z,Margarita Gafurova,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Margarita Gafurova,453
5177018985,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/511872666/original.jpg,https://www.inaturalist.org/photos/511872666,,,,,2025-05-20T17:33:12Z,Elena_Ershkova_Vargot,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Elena_Ershkova_Vargot,454
5177018985,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/511872569/original.jpg,https://www.inaturalist.org/photos/511872569,,,,,2025-05-20T17:32:53Z,Elena_Ershkova_Vargot,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Elena_Ershkova_Vargot,455
5176934153,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/514816064/original.jpg,https://www.inaturalist.org/photos/514816064,,,,,2025-04-22T18:20:49Z,Alexander Baransky,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexander Baransky,456
5176934153,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/514816090/original.jpg,https://www.inaturalist.org/photos/514816090,,,,,2025-04-22T18:20:58Z,Alexander Baransky,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexander Baransky,457
5176934153,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/514816101/original.jpg,https://www.inaturalist.org/photos/514816101,,,,,2025-04-22T18:21:23Z,Alexander Baransky,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexander Baransky,458
5176929887,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/514518428/original.jpg,https://www.inaturalist.org/photos/514518428,,,,,2025-05-27T21:01:28Z,Margarita Gafurova,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Margarita Gafurova,459
5176929887,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/514518421/original.jpg,https://www.inaturalist.org/photos/514518421,,,,,2025-05-27T21:01:11Z,Margarita Gafurova,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Margarita Gafurova,460
5176894572,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/511492222/original.jpg,https://www.inaturalist.org/photos/511492222,,,,,2025-05-27T23:07:31Z,cfres,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,cfres,461
5176894572,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/511492148/original.jpg,https://www.inaturalist.org/photos/511492148,,,,,2025-05-27T23:06:57Z,cfres,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,cfres,462
5176894572,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/511492189/original.jpg,https://www.inaturalist.org/photos/511492189,,,,,2025-05-27T23:07:15Z,cfres,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,cfres,463
